Complessivo;Complessivo_cliente;Padre;Padre_cliente;Elemento;Elemento_cliente;Materia;Materia_code;Quantita_materia;Unita_materia;Descrizione1;Descrizione2;Descrizione3;CFGLIN_0;Quantita;Unita;fase;SEAKEY_0;Categoria;STATISTICO 1;STATISTICO 2;11111111111111111;Non assegnata;Lunghezza1      DY1 (mm);Lunghezza2      DY2 (mm);Larghezza1       DX1 (mm);Larghezza2       DX2 (mm);Altezza1         DZ1 (mm);Altezza2         DZ2 (mm);Diametro           Ø (mm);Diametro max  Ø (mm);Diametro min   Ø (mm) ;Spessore1       THK1 (mm);Spessore2       THK2 (mm);Percentuale fori  FOR (%);Percentuale mandorle;Formato;Superficie (mq);Sezione
"M00008198";"5803248056";"M00008198";"5803248056";"M00007685";"5803170590_POS_10";"M00001199";"5802804383";"1";"PZ";"ELEMENT";" ";" ";" ";1;"PZ";"";"5802804383";"CPL01";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00008198";"5803248056";"M00008198";"5803248056";"M00002562";"5802872337";"";"";"";"";"5802872337";" ";" ";" ";1;"PZ";"";"5802872337";"SLL01";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00008198";"5803248056";"M00008198";"5803248056";"M00002566";"5802872340";"";"";"";"";"5802872340";" ";" ";" ";1;"PZ";"";"5802872340";"SLL01";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00008198";"5803248056";"M00008198";"5803248056";"M00002985";"5802579420";"M00000835";"PC-DD05-0006";"2";"PZ";"dado esagonale alto ";"saldatura a proiezione";"M6";" ";1;"PZ";"";"PC-DD05-0006";"MNR01";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00008198";"5803248056";"M00008198";"5803248056";"M00001170";"5802231938";"";"";"";"";"BUSHING";" ";" ";" ";1;"PZ";"";"5802231938";"CPL01";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00008198";"5803248056";"M00008198";"5803248056";"M00002539";"5802872321";"M00008590";"MM-LZ21-0001";"0,349";"KG";"lamiere in acciaio zincato";"lega HX300LAD+ZF110RB";"spessore 15/10";"LAMPI";1;"PZ";"";"MM-LZ21-0001";"MPL01";"Acciaio zincato";"Lega HX300LAD+ZF110RB";0;0;3000;0;1500;0;0;0;0;0;0;1.5;0;0;0;0;0;0
"M00008198";"5803248056";"M00008198";"5803248056";"M00002538";"5802872322";"SER0100925";" ";"1";"UN";"Costo Verniciatura a polvere";" ";" ";" ";1;"PZ";"";" ";"SER01";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00008198";"5803248056";"M00008198";"5803248056";"M00002537";"5802872323";"SER0100925";" ";"1";"UN";"Costo Verniciatura a polvere";" ";" ";" ";1;"PZ";"";" ";"SER01";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00008198";"5803248056";"M00008198";"5803248056";"M00002536";"5802872329";"SER0100925";" ";"1";"UN";"Costo Verniciatura a polvere";" ";" ";" ";1;"PZ";"";" ";"SER01";"";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M00008198";"5803248056";"M00008198";"5803248056";"M00002554";"5801481318";"M00007391";"MM-LZ14-0003";"0,28";"KG";"lamiera in acciaio zincato";"lega DX52+110RB";"3000x1500 sp.25/10";"LAMPI";1;"PZ";"";"MM-LZ14-0003";"MPL01";"Acciaio zincato";"Lega DX52 + ZF110RB";0;0;3000;0;1500;0;0;0;0;0;0;2.5;0;0;0;0;0;0
"M00008198";"5803248056";"M00008198";"5803248056";"M00002540";"5802580564";"M00000342";"MM-LF02-0006";"0,236";"KG";"lamiere in acciaio al carbonio";"lega DD11";"spessore 40/10";"LAM";2;"PZ";"";"MM-LF02-0006";"MPL01";"Acciaio al carbonio";"Lega DD11";0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;18;0
